I;V
1.00E-08;0.599
2.00E-08;0.596
3.00E-08;0.592
4.00E-08;0.588
5.00E-08;0.584
6.00E-08;0.582
7.00E-08;0.58
8.00E-08;0.577
9.00E-08;0.574
1.00E-07;0.57
