I;V
1.00E-08;0.325
2.00E-08;0.272
3.00E-08;0.23
4.00E-08;0.199
5.00E-08;0.165
6.00E-08;0.14
7.00E-08;0.12
8.00E-08;0.0955
9.00E-08;0.0774
1.00E-07;0.0383
