I;V
1.00E-08;0.728
2.00E-08;0.726
3.00E-08;0.724
4.00E-08;0.724
5.00E-08;0.721
6.00E-08;0.719
7.00E-08;0.718
8.00E-08;0.716
9.00E-08;0.714
1.00E-07;0.712
